BBOalert
Option
,1C,See chat message#16+; any distribution except 16-23 with 4441 distribution
1C--1D--1H--1S--1N--2D--,3H,Max; Good 4-card !H Support; 3433 shape
1C--1D--1H--1S--1N--2D--2H--,2S,Cancel the Transfer. Asking Opener to bid 2NT if min. otherwise to describe the hand (20+ hcps)
1C--1D--1H--1S--1N--2D--2H--,2N,inv in !H or NT
1C--1D--1H--1S--1N--2D--2H--,3C,2-suiter
1C--1D--1H--1S--1N--2D--2H--,3D,2-suiter
1C--1D--1H--1S--1N--2D--2H--,3H,inv in !H
1C--1D--1H--1S--1N--2D--2H--,3S,Major 2-suiter with longer !H
1C--1D--1H--1S--1N--2D--2H--,3N,Pass or Correct with 3 !H
1C--1D--1H--1S--1N--2D--2H--,4C,Beta; General Control Ask
1C--1D--1H--1S--1N--2D--2H--,4H,Mildly inv to Slam
1C--1D--1H--1S--1N--2D--2H--2S--,2N,min. hand
1C--1D--1H--1S--1N--2D--2H--2S--,3C,Better than min.; not a 4333 hand; 4+ cards in the suit
1C--1D--1H--1S--1N--2D--2H--2S--,3D,Better than min.; not a 4333 hand; 4+ cards in the suit
1C--1D--1H--1S--1N--2D--2H--2S--,3H,Better than min.; 4 cards in the suit
1C--1D--1H--1S--1N--2D--2H--2S--,3S,Better than min.; 4 cards in the suit
1C--1D--1H--1S--1N--2D--2H--2S--,3N,Better than min.; 3334 or 3343 hand
1C--1D--1H--1S--1N--2D--2H--2S--3C--,3D,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3C--,3H,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3C--,3S,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3C--,3N,To Play
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--,3H,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--,3S,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--,3N,No other 4 Card Suit
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3H--,3S,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3H--,3N,To Play
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3H--,4H,To play
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3H--3S--,3N,Nothing else to say
