BBOalert
Option
,1C,17+HcP; ANY
1CDbl2C--,3C,5+!C
1CDbl2C--,3D,6+!D; Self-sufficient suit
1CDbl2C--,3H,6+!H; Self-sufficient suit
1CDbl2C--,3S,6+!S; Self-sufficient suit
1CDbl2C--,3N,21+HcP; bal
1CDbl2C--,4C,6+!C; Self-sufficient suit
1CDbl2C--2N--,3C,Baron; Bid 4card suits up the line
1CDbl2C--2N--,3D,5+!D
1CDbl2C--2N--,3H,5+!H
1CDbl2C--2N--,3S,5+!S
1CDbl2C--2N--,3N,Signoff
1CDbl2C--3N--,4C,Baron; Bid 4card suits up the line
1CDbl2C--3N--,4D,5+!D
1CDbl2C--3N--,4H,5+!H
1CDbl2C--3N--,4S,5+!S
1CDbl2D--,2H,5+!H
1CDbl2D--,2S,5+!S
1CDbl2D--,2N,18-20HcP; bal
1CDbl2D--,3C,5+!C
1CDbl2D--,3D,5+!D
1CDbl2D--,3H,6+!H; Self-sufficient suit
1CDbl2D--,3S,6+!S; Self-sufficient suit
1CDbl2D--,3N,21+HcP; bal
1CDbl2D--,4C,6+!C; Self-sufficient suit
1CDbl2D--,4D,6+!D; Self-sufficient suit
1CDbl2D--2N--,3C,Baron; Bid 4card suits up the line
1CDbl2D--2N--,3D,5+!D
1CDbl2D--2N--,3H,5+!H
1CDbl2D--2N--,3S,5+!S
1CDbl2D--2N--,3N,Signoff
1CDbl2D--3N--,4C,Baron; Bid 4card suits up the line
1CDbl2D--3N--,4D,5+!D
1CDbl2D--3N--,4H,5+!H
1CDbl2D--3N--,4S,5+!S
1CDbl2N--,3C,5+!C
1CDbl2N--,3D,5+!D
1CDbl2N--,3H,5+!H
1CDbl2N--,3S,5+!S
1CDbl2N--,3N,21+HcP; bal
1CDbl2N--,4C,6+!C; Self-sufficient suit
1CDbl2N--,4D,6+!D; Self-sufficient suit
1CDbl2N--,4H,6+!H; Self-sufficient suit
1CDbl2N--,4S,6+!S; Self-sufficient suit
1CDbl2N--3N--,4C,Baron; Bid 4card suits up the line
1CDbl2N--3N--,4D,5+!D
1CDbl2N--3N--,4H,5+!H
1CDbl2N--3N--,4S,5+!S
1C1D,--,No CTRL
1C1D,Dbl,Penalty
1C1D,1H,1 CTRL; forcing to 1NT
1C1D,1S,2 CTRL; forcing to 2NT
1C1D,1N,4 CTRL + Stop; GF
1C1D,2C,*3 CTRL; GF *4 CTRL; No stop; GF
1C1D,2D,5 CTRL; GF
1C1D,2H,6+!H; No controls
1C1D,2S,6+!S; No controls
1C1D,2N,6+CTRL; GF
1C1D,3C,6+!C; No controls
1C1D,3D,6+!D; No controls
1C1DDbl--,1N,ASK controls in hand
1C1DDbl--,2D,ASK controls outside opps' suit
1C1DDbl--1N--,2C,No CTRL
1C1DDbl--1N--,2D,1 CTRL
1C1DDbl--1N--,2H,2 CTRL
1C1DDbl--1N--,2S,3 CTRL
1C1DDbl--1N--,2N,4 CTRL
1C1DDbl--1N--,3C,5 CTRL
1C1DDbl--1N--,3D,6+ CTRL
1C1DDbl--2D--,2H,No CTRL
1C1DDbl--2D--,2S,1 CTRL
1C1DDbl--2D--,2N,2 CTRL
