BBOalert
1.,7},Please read chat#ra 1.7 - based on Garozzo's system for Italian Junior team and a little modification\\[Defensive bidding]\\-jump overcall 10-13 HCP; 6+ cards\\-normal overcall 0-16 HCP if very weak then 6+ cards & preemptive\\-take-out double 13-16 HCP and 3+ cards other suits OR 17+ HCP; any shape\\-Michael's + UNT\\-beware of prebalance t/o doubles and suit bids (10+ HCP)
1DDb1H--2D--,4D,RKC !d
1DDb1H--2D--,4H,
1DDb1H--,2H,Please read chat#11-14; 4!h or Hxx and a worthless doubleton
1DDb1H--2H--,2N,5+!h-4!s; slammish
1DDb1H--2H--2N--,3C,sets !h; asks shortness
1DDb1H--2H--2N--3C--,3D,no shortness
1DDb1H--2H--2N--3C--,3H,short !d
1DDb1H--2H--2N--3C--,3S,short !c
1DDb1H--2H--2N--,3D,sets !s; asks shortness
1DDb1H--2H--2N--3D--,3H,2-2
1DDb1H--2H--2N--3D--,3N,short !c
1DDb1H--2H--2N--3D--,3S,short !d
1DDb1H--2H--,2S,invit+ relay
1DDb1H--2H--2S--,2N,4!h unbalanced; min or max
1DDb1H--2H--2S--2N--,3C,relay
1DDb1H--2H--2S--2N--3C--,3D,short !s; minimum
1DDb1H--2H--2S--2N--3C--,3H,short !c; minimum
1DDb1H--2H--2S--2N--3C--,3N,short !c; maximum
1DDb1H--2H--2S--2N--3C--,3S,short !s; maximum
1DDb1H--2H--2S--,3C,3!h; minimum
1DDb1H--2H--2S--3C--,3D,asks !c stopper
1DDb1H--2H--2S--3C--,3H,
1DDb1H--2H--2S--3C--,3S,asks !s stopper
1DDb1H--2H--2S--3C--,4H,
1DDb1H--2H--2S--,3D,3!h; maximum
1DDb1H--2H--2S--3D--,3H,asks !c stopper
1DDb1H--2H--2S--3D--,3S,asks !s stopper
1DDb1H--2H--2S--3D--,4H,
1DDb1H--2H--2S--,3H,4!h balanced; minimum
1DDb1H--2H--2S--,3S,4!h balanced; maximum
1DDb1H--2H--,3C,5!h-4+!c slammish
1DDb1H--2H--,3D,4!h-3+!d 9-11
1DDb1H--2H--,3H,
1DDb1H--2H--,3N,4!h; soft hand or 4333
1DDb1H--2H--,3S,5+!h; splinter; slammish
1DDb1H--2H--,4C,5+!h; splinter; slammish
1DDb1H--2H--,4D,5+!h; splinter; slammish
1DDb1H--2H--,4H,
1DDb1H--,2N,Please read chat#18-20 balanced; denies 4!h; may have 4!s
1DDb1H--2N--,3C,5+!h-4+!d; slam interest
1DDb1H--2N--,3D,5+!h; forces 3!h
1DDb1H--2N--3D--,3H,forced
1DDb1H--2N--3D--3H--,3N,5!h; choice of games
1DDb1H--2N--3D--3H--,3S,5!h-4!s
1DDb1H--2N--3D--3H--,4C,5!h-4!c slam interest
1DDb1H--2N--3D--3H--,4D,cue; 6+!h; slam interest
1DDb1H--2N--3D--3H--,4H,6+!h; slam interest; no !d cue
1DDb1H--2N--3D--3H--,--,signoff
1DDb1H--2N--,3H,4!h-4!s GF
1DDb1H--2N--,3S,4!h-4!d slam interest
1DDb1H--2N--,4C,5!h exactly; cue with slam interest
1DDb1H--2N--,4D,5!h exactly; cue with slam interest
1DDb1H--2N--,4H,
1DDb1H--,2S,reverse:  5+!d-4!s 17+
1DDb1H--2S--,2N,GF shape ask; GAR relay
1DDb1H--2S--2N--,3C,5!d-4!h; denies 4!c
1DDb1H--2S--2N--3C--,3D,asks shortness; denies !s interest
1DDb1H--2S--2N--3C--3D--,3H,5-4-2-2
1DDb1H--2S--2N--3C--3D--,3N,sing. !c
1DDb1H--2S--2N--3C--3D--,3S,sing. !h
1DDb1H--2S--2N--3C--,3H,asks shortness; sets !s
1DDb1H--2S--2N--3C--3H--,3N,sing. !h
1DDb1H--2S--2N--3C--3H--,3S,5-4-2-2
1DDb1H--2S--2N--3C--3H--,4C,sing. !c
1DDb1H--2S--2N--,3D,6+!d-4!s
1DDb1H--2S--2N--3D--,3H,asks shortness; denies !s interest
1DDb1H--2S--2N--3D--3H--,3N,short !c
1DDb1H--2S--2N--3D--3H--,3S,short !h
1DDb1H--2S--2N--3D--,3S,asks shortness; sets !s
1DDb1H--2S--2N--3D--3S--,3N,short !h
1DDb1H--2S--2N--3D--3S--,4C,short !c
1DDb1H--2S--2N--,3N,4!s-5!d-4!c
1DDb1H--2S--,3C,5+!h-5+!c 7+ HCP GF
1DDb1H--2S--,3D,
1DDb1H--2S--,3H,6+!h 8+ HCP GF
1DDb1H--2S--,3S,courtesy raise; 4-6 HCP
1DDb1H--,3C,13-16; 5+!d-5+!c; 5-5.5 losers
1DDb1H--,3D,6+ good !d; 13-16
1DDb1H--3D--,3H,5+!h; 7+ HCP
1DDb1H--3D--3H--,3N,0-1 !h
1DDb1H--3D--3H--,3S,2!h
1DDb1H--3D--3H--,4C,cue with 3!h
1DDb1H--3D--3H--,4D,cue with 3!h
1DDb1H--3D--,3S,asks !s stopper
1DDb1H--,3H,14-16; 4!h unbalanced
1DDb1H--,3N,Please read chat#7 solid !d; side stoppers; about 8 tricks
1DDb1H--,3S,4!s-4!h-4!d-1!c 18-22
1DDb1H--,4C,6+!d-4!h 13-16 splinter
1DDb1H--,4D,6+!d-4!h 13-16 !s splinter
1DDb,1N,8-10 balanced
1DDb,1S,
1DDb1S--,1N,12-14 bal or 11-14 5!d-4!h-1/2!s
1DDb1S--1N--,2C,Please read chat#2-way checkback:  !d signoff or any invite hand
1DDb1S--1N--2C--,2D,forced
1DDb1S--1N--2C--2D--,2H,5!s-4+!h; 9-11; mild invite
1DDb1S--1N--2C--2D--,2N,10-11; 4!s
1DDb1S--1N--2C--2D--,2S,5!s 10-11
1DDb1S--1N--2C--2D--,3C,5+!s-5+!c 9-11
1DDb1S--1N--2C--2D--,3D,5+!s-4+!d 9-11
1DDb1S--1N--2C--2D--,3H,5+!s-5+!h 9-11; solid invite
1DDb1S--1N--2C--2D--,3S,6+!s; 9-11
1DDb1S--1N--2C--2D--,--,!d signoff; 3+!d
1DDb1S--1N--,2D,2-way checkback:  general GF
1DDb1S--1N--2D--,2H,4!h; may have 3!s
1DDb1S--1N--2D--2H--,2N,general; waiting for more info
1DDb1S--1N--2D--2H--,2S,5+ bad !s; maybe NT oriented
1DDb1S--1N--2D--2H--,3C,5!s-4!c
1DDb1S--1N--2D--2H--,3D,5!s-4!d
1DDb1S--1N--2D--2H--,3H,5!s-4!h
1DDb1S--1N--2D--,2N,no other bid available
1DDb1S--1N--2D--,2S,3!s; denies 4!h
1DDb1S--1N--2D--2S--,2N,waiting for more info
1DDb1S--1N--2D--2S--,3C,5!s-4!c
1DDb1S--1N--2D--2S--,3D,5!s-4!d
1DDb1S--1N--2D--2S--,3H,5!s-4!h
1DDb1S--1N--2D--2S--,3S,sets !s
1DDb1S--1N--2D--2S--,4C,splinter for !s
1DDb1S--1N--2D--2S--,4D,splinter for !s
1DDb1S--1N--2D--2S--,4H,splinter for !s
1DDb1S--1N--2D--2S--,4S,
1DDb1S--1N--2D--,3C,4 bad !c; likely strong doubleton !h
1DDb1S--1N--2D--,3D,bad 6!d
1DDb1S--1N--2D--,3H,5!d-4!h; 1-2!s
1DDb1S--1N--,2H,
1DDb1S--1N--,2N,Please read chat#2NT transfer -                          a) !c signoff                               b) 6+ great !s; at least mild slam interest                                    c) 5+!s-5+other GF                 d) strong slam splinter for !d
1DDb1S--1N--2N--,3C,forced
1DDb1S--1N--2N--3C--,3D,any strong slam splinter for !d
1DDb1S--1N--2N--3C--3D--,3H,asks shortness
1DDb1S--1N--2N--3C--3D--3H--,3N,short !c
1DDb1S--1N--2N--3C--3D--3H--,3S,short !h
1DDb1S--1N--2N--3C--,3H,5+!s-5+!h GF
1DDb1S--1N--2N--3C--,3N,Please read chat#6+ solid or semisolid !s; mild slam try; NF
1DDb1S--1N--2N--3C--,3S,5+!s-5+!c GF
1DDb1S--1N--2N--3C--,4C,Please read chat#6+ solid or semisolid !s; strong slam try; cue
1DDb1S--1N--2N--3C--,4D,Please read chat#6+ solid or semisolid !s; strong slam try; cue
1DDb1S--1N--2N--3C--,4H,Please read chat#6+ solid or semisolid !s; strong slam try; cue
1DDb1S--1N--2N--3C--,--,!c signoff; 6+!c
1DDb1S--1N--,2S,
1DDb1S--1N--,3C,4!s-5+!c 9-11
1DDb1S--1N--,3D,4!s-5+!d 9-11
1DDb1S--1N--,3H,4!s-5!d; splinter; mild slam interest
1DDb1S--1N--,3S,6+!s GF
1DDb1S--1N--,4C,Please read chat#5!d-4!s; !c splinter; mild slam interest
1DDb1S--,2C,Please read chat#Gazzilli:                                  a) 5+!d-4+!c 11+                        b) 6+!d 17+                                c) 4!s balanced 18-20             d) 5+!d-4!s 17+
1DDb1S--2C--,2D,2+!d; 5-8 HCP
1DDb1S--2C--2D--,2H,Please read chat#a) 5+!d-4!c 17-19; no !h stopper   b) 5+!d-4!c 19+ GF                     c) 6+!d 19+ GF
1DDb1S--2C--2D--2H--,2N,!h stopper; minimum
1DDb1S--2C--2D--2H--,2S,5!s; minimum
1DDb1S--2C--2D--2H--,3C,4!c; min or max; probably 3+!d
1DDb1S--2C--2D--2H--,3D,minimum; no !h stopper
1DDb1S--2C--2D--2H--,3H,maximum; no !h stopper
1DDb1S--2C--2D--2H--,3N,maximum; !h stopper
1DDb1S--2C--2D--2H--,3S,5!s; maximum
1DDb1S--2C--2D--,2N,5!d-4!c 17-18; !h stopper
1DDb1S--2C--2D--,2S,5!d-4!c-3!s 15-16
1DDb1S--2C--2D--,3C,5+!d-5+!c 3-4.5 losers; GF
1DDb1S--2C--2D--,3D,6+!d 17-18
1DDb1S--2C--2D--,3H,5+!d-4!s very strong !h splinter
1DDb1S--2C--2D--,3N,some very strong hand
1DDb1S--2C--2D--,3S,4+!d-4!s 18-20 balanced
1DDb1S--2C--2D--,4C,5+!d-4!s very strong !c splinter
1DDb1S--2C--2D--,4D,strong invite
1DDb1S--2C--2D--,4S,had a huge !s hand
1DDb1S--2C--2D--,--,5+!d-4+!c 11-16
1DDb1S--2C--,2H,relay; 9+ HCP; F1
1DDb1S--2C--2H--,2N,5+!d-4+!c; 17+
1DDb1S--2C--2H--2N--,3C,shape ask; GAR relay
1DDb1S--2C--2H--2N--3C--,3D,5!d-4!c-(3-1)
1DDb1S--2C--2H--2N--3C--3D--,3H,asks shortness; denies !d interest
1DDb1S--2C--2H--2N--3C--3D--3H--,3N,short !h
1DDb1S--2C--2H--2N--3C--3D--3H--,3S,short !s
1DDb1S--2C--2H--2N--3C--3D--,3S,asks shortness; sets !d
1DDb1S--2C--2H--2N--3C--3D--3S--,3N,short !s
1DDb1S--2C--2H--2N--3C--3D--3S--,4C,short !h
1DDb1S--2C--2H--2N--3C--,3H,6+!d-4!c
1DDb1S--2C--2H--2N--3C--3H--,3S,asks shortness; denies !d interest
1DDb1S--2C--2H--2N--3C--3H--3S--,3N,short !s
1DDb1S--2C--2H--2N--3C--3H--3S--,4C,short !h
1DDb1S--2C--2H--2N--3C--3H--,4C,asks shortness; sets !d
1DDb1S--2C--2H--2N--3C--3H--4C--,4D,short !s
1DDb1S--2C--2H--2N--3C--3H--4C--,4H,short !h
1DDb1S--2C--2H--2N--3C--,3N,5!d-4!c-2-2
1DDb1S--2C--2H--2N--3C--,3S,5+!d-5+!c; short !s
1DDb1S--2C--2H--2N--3C--,4C,5+!d-5+!c; short !h
1DDb1S--2C--2H--2N--,3H,asks !h stopper
1DDb1S--2C--2H--,2S,5+!d-4+!c; 11-16
1DDb1S--2C--2H--2S--,2N,GF shape ask; GAR relay
1DDb1S--2C--2H--2S--2N--,3C,5!d-4!c
1DDb1S--2C--2H--2S--2N--3C--,3D,asks shortness; no !d interest
1DDb1S--2C--2H--2S--2N--3C--3D--,3H,2-2
1DDb1S--2C--2H--2S--2N--3C--3D--,3N,sing. !h
1DDb1S--2C--2H--2S--2N--3C--3D--,3S,sing. !s
1DDb1S--2C--2H--2S--2N--3C--,3H,asks shortness; sets !d
1DDb1S--2C--2H--2S--2N--3C--3H--,3N,sing. !s
1DDb1S--2C--2H--2S--2N--3C--3H--,3S,2-2
1DDb1S--2C--2H--2S--2N--3C--3H--,4C,sing. !h
1DDb1S--2C--2H--2S--2N--,3D,6+!d-4!c
1DDb1S--2C--2H--2S--2N--3D--,3H,asks shortness; no !d interest
1DDb1S--2C--2H--2S--2N--3D--3H--,3N,short !h
1DDb1S--2C--2H--2S--2N--3D--3H--,3S,short !s
1DDb1S--2C--2H--2S--2N--3D--,3S,asks shortness; sets !d
1DDb1S--2C--2H--2S--2N--3D--3S--,3N,short !s
1DDb1S--2C--2H--2S--2N--3D--3S--,4C,short !h
1DDb1S--2C--2H--2S--2N--,3H,5+!d-5+!c; short !s
1DDb1S--2C--2H--2S--2N--,3S,5+!d-5+!c; short !h
1DDb1S--2C--2H--2S--,3C,4+!c 9-11
1DDb1S--2C--2H--2S--,3D,3+!d 9-11
1DDb1S--2C--2H--2S--,3H,asks !h stopper
1DDb1S--2C--2H--2S--,3S,6+!s GF
1DDb1S--2C--2H--,3C,5+!d-5+!c; 3-4.5 losers
1DDb1S--2C--2H--,3D,6+!d; 17+
1DDb1S--2C--2H--,3H,5+!d-4!s; 17+ splinter
1DDb1S--2C--2H--,3S,4+!d-4!s balanced 18-20
1DDb1S--2C--2H--,4C,5+!d-4!s; 17+ splinter
1DDb1S--2C--,2N,4+!c; 0-2!d; 5-8 HCP
1DDb1S--2C--2N--,3C,11-16 5+!d-4+!c
1DDb1S--2C--2N--,3D,17-18
1DDb1S--2C--2N--,3H,very strong hand; asks !h stopper
1DDb1S--2C--2N--,3S,invite; 18-20 bal 4!s
1DDb1S--2C--,2S,Please read chat#5+!s 5-8 HCP; strong pref for !s over !d
1DDb1S--2C--2S--,2N,5!d-4!c 17-18; !h stopper
1DDb1S--2C--2S--,3C,5+!d-5+!c 3-4.5 losers; GF
1DDb1S--2C--2S--,3D,6+!d 17-18
1DDb1S--2C--2S--,3H,very strong hand; asking for !h stopper
1DDb1S--2C--2S--,3N,some very strong hand
1DDb1S--2C--2S--,3S,4+!d-4!s 18-20 balanced
1DDb1S--2C--2S--,4C,5+!d-4!s very strong !c splinter
1DDb1S--2C--2S--,4D,strong invite
1DDb1S--2C--2S--,4H,5+!d-4!s very strong !h splinter
1DDb1S--2C--2S--,4S,had a huge !s hand
1DDb1S--2C--2S--,--,5+!d-4+!c 11-16
1DDb1S--2C--,3C,5!s-4+!c 9-11
1DDb1S--2C--,3D,5!s-3+!d 9-11
1DDb1S--2C--,3H,5+!s-5+!h 9-11
1DDb1S--2C--,3S,6+!s 9-11
1DDb1S--,2D,6+!d 11-16 or 5!d-4!h 15-16
1DDb1S--2D--,2H,invit+ relay
1DDb1S--2D--2H--,2N,max 6+!d; denies 3!s or 4!h
1DDb1S--2D--2H--,2S,6!d-3!s minimum
1DDb1S--2D--2H--2S--,2N,GF relay for shortness
1DDb1S--2D--2H--2S--2N--,3C,6322
1DDb1S--2D--2H--2S--2N--,3D,short !h
1DDb1S--2D--2H--2S--2N--,3H,short !c
1DDb1S--2D--2H--2S--,3C,asks !c stopper
1DDb1S--2D--2H--2S--,3D,9-11
1DDb1S--2D--2H--2S--,3H,asks !h stopper
1DDb1S--2D--2H--2S--,4S,
1DDb1S--2D--2H--,3C,6!d-4!h minimum
1DDb1S--2D--2H--,3D,min 6+!d; denies 4!h or 3!s
1DDb1S--2D--2H--,3H,5+!d-4!h maximum
1DDb1S--2D--2H--,3S,6+!d-3!s maximum
1DDb1S--2D--,2N,Please read chat#2NT transfer -                          a) !c signoff                               b) 6+ great !s; at least mild slam interest                                    c) 5+!s-5+other GF                   d) strong slam splinter for !d
1DDb1S--2D--2N--,3C,forced
1DDb1S--2D--2N--3C--,3D,any strong slam splinter for !d
1DDb1S--2D--2N--3C--3D--,3H,asks shortness
1DDb1S--2D--2N--3C--3D--3H--,3N,short !c
1DDb1S--2D--2N--3C--3D--3H--,3S,short !h
1DDb1S--2D--2N--3C--,3H,5+!s-5+!h GF
1DDb1S--2D--2N--3C--,3N,Please read chat#6+ solid or semisolid !s; mild slam try; NF
1DDb1S--2D--2N--3C--,3S,5+!s-5+!c GF
1DDb1S--2D--2N--3C--,4C,Please read chat#6+ solid or semisolid !s; strong slam try; cue
1DDb1S--2D--2N--3C--,4D,Please read chat#6+ solid or semisolid !s; strong slam try; cue
1DDb1S--2D--2N--3C--,4H,Please read chat#6+ solid or semisolid !s; strong slam try; no minor cue
1DDb1S--2D--2N--3C--,--,!c signoff; 6+!c
1DDb1S--2D--,2S,
1DDb1S--2D--,3C,5+!s-5+!c 9-11
1DDb1S--2D--,3D,
1DDb1S--2D--,3H,5+!s-5+!h 9-11
1DDb1S--2D--,3S,6+!s 9-11
1DDb1S--2D--,4C,splinter for !d; mild slam interest
1DDb1S--2D--,4D,
1DDb1S--2D--,4H,splinter for !d; mild slam interest
1DDb1S--2D--,4S,
1DDb1S--,2H,5+!d-4!h 17+
1DDb1S--2H--,2N,GF shape ask; GAR relay
1DDb1S--2H--2N--,3C,5!d-4!h; denies 4!c
1DDb1S--2H--2N--3C--,3D,asks shortness; denies !h interest
1DDb1S--2H--2N--3C--3D--,3H,sing. !s
1DDb1S--2H--2N--3C--3D--,3S,sing. !c
1DDb1S--2H--2N--3C--,3H,asks shortness; sets !h
1DDb1S--2H--2N--3C--3H--,3N,short !c
1DDb1S--2H--2N--3C--3H--,3S,short !s
1DDb1S--2H--2N--,3D,6+!d-4!h
1DDb1S--2H--2N--3D--,3H,asks shortness; denies !h interest
1DDb1S--2H--2N--3D--3H--,3N,short !c
1DDb1S--2H--2N--3D--3H--,3S,short !s
1DDb1S--2H--2N--3D--,3S,asks shortness; sets !h
1DDb1S--2H--2N--3D--3S--,3N,short !s
1DDb1S--2H--2N--3D--3S--,4C,short !c
1DDb1S--2H--2N--,3N,4!h-5!d-4!c
1DDb1S--2H--,2S,5+!s; 4-6 HCP
1DDb1S--2H--2S--,3C,strong; asks !c stopper
1DDb1S--2H--2S--,3D,
1DDb1S--2H--2S--,3S,
1DDb1S--2H--,3C,5+!s-5+!c 7+ HCP; GF
1DDb1S--2H--,3D,
1DDb1S--2H--,3H,courtesy raise; 4-6 HCP
1DDb1S--2H--,3S,6+!s; 8+ HCP GF
1DDb1S--,2N,18-20 balanced; denies 4!s
1DDb1S--2N--,3C,4+!d transfer
1DDb1S--2N--3C--,3D,forced
1DDb1S--2N--3C--3D--,3H,5!s-4!h-4!d
1DDb1S--2N--3C--3D--,3S,5!s-4!d slam interest
1DDb1S--2N--3C--3D--,--,signoff !d
1DDb1S--2N--,3D,5+!s-4+!H GF
1DDb1S--2N--,3H,transfer to 3!s
1DDb1S--2N--3H--,3S,forced
1DDb1S--2N--3H--3S--,3N,choice of games
1DDb1S--2N--3H--3S--,4C,6+!s; slam interest; cue
1DDb1S--2N--3H--3S--,4D,6+!s; slam interest; cue
1DDb1S--2N--3H--3S--,4H,6+!s; slam interest; cue
1DDb1S--2N--3H--3S--,4S,6+!s; slam interest; no side control
1DDb1S--2N--3H--3S--,--,signoff
1DDb1S--2N--,3S,4!s-4!d slam interest
1DDb1S--2N--,4C,5!s exactly; slam interest; cue
1DDb1S--2N--,4D,5!s exactly; slam interest; cue
1DDb1S--2N--,4H,5!s exactly; slam interest; cue
1DDb1S--,2S,11-14; 4!s or sometimes 3!s
1DDb1S--2S--,2N,invit+ relay
1DDb1S--2S--2N--,3C,4!s unbalanced; min or max
1DDb1S--2S--2N--3C--,3D,relay
1DDb1S--2S--2N--3C--3D--,3H,short !h; minimum
1DDb1S--2S--2N--3C--3D--,3N,short !h; max
1DDb1S--2S--2N--3C--3D--,3S,short !c; minimum
1DDb1S--2S--2N--3C--3D--,4C,short !c; max
1DDb1S--2S--2N--,3D,3!s; minimum
1DDb1S--2S--2N--3D--,3H,asks !c stopper
1DDb1S--2S--2N--3D--,3S,
1DDb1S--2S--2N--,3H,3!s; maximum
1DDb1S--2S--2N--3H--,3S,asks for !c stopper
1DDb1S--2S--2N--,3N,4!s; balanced; maximum
1DDb1S--2S--2N--,3S,4!s; balanced; minimum
1DDb1S--2S--,3C,5!s-4+!c slam interest
1DDb1S--2S--,3D,4!s-3+!d 9-11
1DDb1S--2S--,3H,5!s-4!h slam interest
1DDb1S--2S--,3N,Please read chat#suggests contract; 4!s either 4333 or bad trumps
1DDb1S--2S--,3S,
1DDb1S--2S--,4C,5+!s splinter; slam interest
1DDb1S--2S--,4D,5+!s splinter; slam interest
1DDb1S--2S--,4H,5+!s splinter; slam interest
1DDb1S--2S--,4S,
1DDb1S--,3C,5+!d-5+!c; 5-5.5 losers
1DDb1S--,3D,13-16; 6+ good !d
1DDb1S--3D--,3H,5+!s; GF
1DDb1S--3D--3H--,3N,0-1 !s
1DDb1S--3D--3H--,3S,2!S
1DDb1S--3D--3H--,4C,cue with 3!s
1DDb1S--3D--3H--,4D,cue with 3!s
1DDb1S--3D--3H--,4H,cue with 3!s
1DDb1S--3D--,3S,asks !h stopper
1DDb1S--,3H,4!s-4!h-4!d-1!c 18-22
1DDb1S--,3N,7+ solid !d; side stoppers
1DDb1S--,3S,14-16; 4!s unbalanced
1DDb1S--,4C,6+!d-4!s; 13-16; !c splinter
1DDb1S--,4D,6+!d-4!s; 13-16; !h splinter
1DDb,2C,5+!c; competitive
1DDb,2D,Please read chat#simple raise; 5-9; if 5!d then balanced; only 3!d if 6!c
1DDb2D--,2H,invit+ relay
1DDb2D--2H--,2N,4-7; 6!c-3!d
1DDb2D--2H--,2S,4-7 HCP; 4!h or 4!s
1DDb2D--2H--,3C,max; 4+!d; if 4!d then no short major
1DDb2D--2H--,3D,minimum
1DDb2D--2H--,3H,max; 4!d; short !h
1DDb2D--2H--,3S,max; 4!d; short !s
1DDb2D--,2N,18-20 bal
1DDb2D--,2S,5+!d-4!s 17-21
1DDb2D--,3C,5+!d-5+!c 4-5 losers
1DDb2D--,3D,
1DDb2D--,3H,6!d-5!h 3-4.5 losers
1DDb2D--,3S,6!d-5!s 3-4.5 losers
1DDb2D--,4N,preempt; 5+!d-5+!c
1DDb2D--,5D,
1DDb,2H,6+ decent !h; 3 to bad 7 HCP
1DDb2H--,2N,15+; 2+!h; invit+ relay
1DDb2H--2N--,3C,good 5 to bad 7; not short !s
1DDb2H--2N--3C--,3D,asks shortness
1DDb2H--2N--3C--3D--,3H,balanced; 6 to good 7
1DDb2H--2N--3C--3D--,3N,short !c
1DDb2H--2N--3C--3D--,3S,short !d
1DDb2H--2N--,3D,3-4 HCP; likely unbalanced
1DDb2H--2N--3D--,3H,
1DDb2H--2N--,3H,4-5 HCP; balanced
1DDb2H--2N--,3S,maximum; short !s
1DDb2H--,2S,5+!d; !s suit or values; 17+
1DDb2H--,3C,5+!d- !c suit or values; 17+
1DDb2H--,3D,16-18; 6+!d
1DDb2H--,3H,
1DDb2H--,3S,6!d-5!s; NF
1DDb2H--,4H,
1DDb,2N,6+!c; 4-7 HCP
1DDb2N--,3C,
1DDb2N--,3D,
1DDb2N--,3H,asks !h stopper
1DDb2N--,3S,asks !s stopper
1DDb2N--,4C,
1DDb2N--,4H,6!d-5!h 3-4.5 losers
1DDb2N--,4N,preempt; 7+!d-3+!c
1DDb2N--,4S,6!d-5!s 3-4.5 losers
1DDb2N--,5C,
1DDb,2S,6+ decent !s; 3 to bad 7 HCP
1DDb2S--,2N,15+; 2+!s; invit+ relay
1DDb2S--2N--,3C,max; not short !h
1DDb2S--2N--3C--,3D,relay
1DDb2S--2N--3C--3D--,3H,short !d
1DDb2S--2N--3C--3D--,3N,short !c
1DDb2S--2N--3C--3D--,3S,max balanced
1DDb2S--2N--,3D,minimum
1DDb2S--2N--3D--,3S,
1DDb2S--2N--,3H,max; short !h
1DDb2S--2N--,3S,medium hand; balanced
1DDb2S--,3C,5+!d; !c suit or values; 17+
1DDb2S--,3D,6+!d; 16-18
1DDb2S--,3H,5+!d; !h suit or values; 17+
1DDb2S--,3S,
1DDb2S--,4S,
1DDb,3C,5+!d; 7-9 HCP
1DDb3C--,3D,
1DDb3C--,3H,Please read chat#asks !h stopper; or advance cue for !d (usually splinter)
1DDb3C--,3S,Please read chat#asks !s stopper; or advance cue for !d (usually splinter)
1DDb3C--,4C,cue; slam interest; usually shortness
1DDb3C--,4D,
1DDb3C--,4H,6!d-5!h 3-4.5 losers
1DDb3C--,4S,6!d-5!s 3-4.5 losers
1DDb,3D,0-5; usually 5+!d
1DDb,3H,Please read chat#5+-4+ minors; short !h; denies 4!s; GF 12-15
1DDb,3N,4!d-333 12-14; 0-2 controls
1DDb,3S,Please read chat#5+-4+ minors; short !s; denies 4!h; GF 12-15
1DDb,Rd,11+ no fit; no M
1D--,1H,
1D--1H--,1N,11-14 balanced; or 11-13 5!d-4!c
1D--1H--1N--,2C,Please read chat#2-way checkback:  !d signoff or any invite hand
1D--1H--1N--2C--,2D,forced
1D--1H--1N--2C--2D--,2H,5!h 10-11
1D--1H--1N--2C--2D--,2N,10-11; 4!h
1D--1H--1N--2C--2D--,2S,5!h-4!s 10-11
1D--1H--1N--2C--2D--,3C,5!h-5!c 9-11
1D--1H--1N--2C--2D--,3D,5!h-4+!d 9-11
1D--1H--1N--2C--2D--,3H,6+!h; 9-11
1D--1H--1N--2C--2D--,--,!d signoff
1D--1H--1N--,2D,2-way checkback:  general GF
1D--1H--1N--2D--,2H,3!h
1D--1H--1N--2D--2H--,2N,general waiting for more info
1D--1H--1N--2D--2H--,2S,
1D--1H--1N--2D--2H--,3C,5!h-4!c
1D--1H--1N--2D--2H--,3D,5!h-4!d
1D--1H--1N--2D--2H--,3H,sets suit
1D--1H--1N--2D--2H--,3S,splinter for !h
1D--1H--1N--2D--2H--,4C,splinter for !h
1D--1H--1N--2D--2H--,4D,splinter for !h
1D--1H--1N--2D--2H--,4H,
1D--1H--1N--2D--,2N,no better bid
1D--1H--1N--2D--2N--,3C,5!h-4!c
1D--1H--1N--2D--2N--,3D,5!h-4!d
1D--1H--1N--2D--2N--,3H,6+ bad !h
1D--1H--1N--2D--2N--,3S,5!h-4!s
1D--1H--1N--2D--2N--,4C,6+!h; splinter
1D--1H--1N--2D--2N--,4D,6+!h; splinter
1D--1H--1N--2D--,2S,? - maybe no spade stopper
1D--1H--1N--2D--2S--,2N,waiting for more info
1D--1H--1N--2D--2S--,3C,5!h-4!c
1D--1H--1N--2D--2S--,3D,5!h-4!d
1D--1H--1N--2D--2S--,3H,6+ bad !h
1D--1H--1N--2D--2S--,3S,5!h-4!s
1D--1H--1N--2D--2S--,4C,6+!h; splinter
1D--1H--1N--2D--2S--,4D,6+!h; splinter
1D--1H--1N--2D--,3C,5!d; 4 bad !c
1D--1H--1N--2D--,3D,bad 6!d
1D--1H--1N--,2H,7-9
1D--1H--1N--,2N,Please read chat#2NT transfer -                          a) !c signoff                               b) 6+ great !h; at least mild slam interest                                    c) 5+!h-5+c GF                        d) 6+!h-5!s GF                         e) any strong slam splinter for !d
1D--1H--1N--2N--,3C,forced
1D--1H--1N--2N--3C--,3D,any strong slam splinter for !d
1D--1H--1N--2N--3C--3D--,3H,asks shortness
1D--1H--1N--2N--3C--3D--3H--,3N,short !c
1D--1H--1N--2N--3C--3D--3H--,3S,short !s
1D--1H--1N--2N--3C--,3H,5+!h-5+!c GF
1D--1H--1N--2N--3C--,3N,Please read chat#6+ solid or semisolid !h; mild slam try; NF
1D--1H--1N--2N--3C--,3S,6+!h-5!s GF
1D--1H--1N--2N--3C--,4C,Please read chat#6+ solid or semisolid !h; strong slam try; cue
1D--1H--1N--2N--3C--,4D,Please read chat#6+ solid or semisolid !h; strong slam try; cue
1D--1H--1N--2N--3C--,4H,Please read chat#6+ solid or semisolid !h; strong slam try; no minor cue
1D--1H--1N--2N--3C--,--,!c signoff; 6+!c
1D--1H--1N--,2S,4!h-4!s 10-12
