BBOalert
1C,1D,9-12HcP; 5+!D; NF
1C2C--2N--3S--,5D,Signoff
1C2C--,2S,Signoff
1C2C--2S--,2N,0-1!S
1C2C--,3C,Signoff
1C2C--3C--,3D,0-1!C
1C,2D,12-15HcP; 5+!D; Good
1C,2H,12-15HcP; 5+!H; Good
1C,2N,10-14HcP; !C + !D
1C,2S,12-15HcP; 5+!S; Good
1C,3C,17-18HcP; 3-suiter. LTC: 5-6
1C,Db,12+HcP; No 3-suiter. Takeout
1CDb--,1D,Herbert Negative
1CDb--1D--,2N,20+HcP; ANY
1CDb--,2C,ASK stop
1CDb--2C--,3N,20+HcP; ANY
1CDb--,2D,5+!D; Good hand
1CDb--2D--,3N,20+HcP; ANY
1CDb--,2H,5+!H; Good hand
1CDb--2H--,3N,20+HcP; ANY
1CDb--,2S,5+!S; Good hand
1CDb--2S--,3N,20+HcP; ANY
1D,1H,9-12HcP; 5+!H; NF
1D,1N,16-19HcP; bal
1D1N--,2C,Stayman
1D1N--2C--,2D,minimum; No 4 card MAJOR
1D1N--2C--2D--,2H,4+!H
1D1N--2C--2D--2H--,2N,No Honor 3rd
1D1N--2C--2D--2H--2N--,3C,ASK distrib
1D1N--2C--2D--2H--2N--3C--,3D,3-3-4-3
1D1N--2C--2D--2H--2N--3C--,3H,2-3-4-4
1D1N--2C--2D--2H--2N--3C--,3N,3-3-3-4
1D1N--2C--2D--2H--2N--3C--,3S,3-2-4-4
1D1N--2C--2D--2H--,3H,Honor 3rd
1D1N--2C--2D--,2N,7-8HcP; No fit
