BBOalert
1N--2H--,2S,3!S
1N--2H--,3H,MAX; 4!S; 2!H
1N--2H--,3S,MAX; 4!S
1N--,2N,Trans -> !D
1N--2N--,3C,MAX; 3+!D
1N--2N--3C--,3D,Signoff
1N--2N--3C--,3H,0-1!H; GF
1N--2N--3C--,3N,Solid !D
1N--2N--3C--,3S,0-1!S; GF
1N--2N--3C--,4C,0-1!C; GF
1N--2N--3C--,4D,Slam try; CUE continue
1N--2N--3C--,4H,RKCB 14/03 in !D
1N--2N--,3D,Relay
1N--2N--3D--,3H,0-1!H; GF
1N--2N--3D--,3N,Solid !D
1N--2N--3D--,3S,0-1!S; GF
1N--2N--3D--,4C,0-1!C; GF
1N--2N--3D--,4D,Slam try; CUE continue
1N--2N--3D--,4H,RKCB 14/03 in !D
1N--2N--3D--,--,To play
1N--,2S,Trans -> !C
1N--2S--,2N,MAX; 3+!C
1N--2S--2N--,3C,Signoff
1N--2S--2N--,3D,0-1!D; GF
1N--2S--2N--,3H,0-1!H; GF
1N--2S--2N--,3N,Solid !C
1N--2S--2N--,3S,0-1!S; GF
1N--2S--2N--,4C,Slam try; CUE continue
1N--2S--2N--,4D,RKCB 14/03 in !C
1N--2S--,3C,Relay
1N--2S--3C--,3D,0-1!D; GF
1N--2S--3C--,3H,0-1!H; GF
1N--2S--3C--,3N,Solid !C
1N--2S--3C--,3S,0-1!S; GF
1N--2S--3C--,4C,Slam try; CUE continue
1N--2S--3C--,4D,RKCB 14/03 in !C
1N--2S--3C--,--,To play
1N--,3C,5+!D; 0-1!C. 4!H+4!S
1N--3C--,3D,MAXIMUM
1N--3C--3D--,3H,4!H
1N--3C--3D--3H--,3N,Slam invite
1N--3C--3D--3H--,3S,4!S
1N--3C--3D--3H--,4C,4!C; !H agreed; Good hand
1N--3C--3D--3H--,4D,4+!D; Slam invite
1N--3C--3D--3H--,4H,Signoff
1N--3C--3D--3H--,5D,Signoff
1N--3C--3D--,3S,4!S
1N--3C--3D--3S--,3N,Slam invite
1N--3C--3D--3S--,4C,4!C; !S agreed; Good hand
1N--3C--3D--3S--,4D,4+!D; Slam invite
1N--3C--3D--3S--,4S,Signoff
1N--3C--3D--3S--,5D,Signoff
1N--3C--,3H,4+!H; 3NT or slam?
1N--3C--3H--,3N,Signoff
1N--3C--3H--,3S,4!S
1N--3C--3H--3S--,3N,ASK distrib
1N--3C--3H--3S--3N--,4C,4-3-6-0
1N--3C--3H--3S--3N--,4D,Good hand; Slam invite
1N--3C--3H--,4C,4!H; !C: Ace or void
1N--3C--3H--,4D,4!H; Good hand. Slam invite
1N--3C--3H--,4H,Signoff
1N--3C--3H--,4N,4!H; RKCB 14/03 in !H
1N--3C--,3N,Signoff
1N--3C--,3S,4+!S; 3NT or slam?
1N--3C--3S--,3N,Signoff
1N--3C--3S--,4C,4!S; !C: Ace or void
1N--3C--3S--,4D,4!S; Good hand. Slam invite
1N--3C--3S--,4H,Signoff
1N--3C--3S--,4N,4!S; RKCB 14/03 in !S
1N--3C--,4C,4+!D
1N--3C--4C--,4D,Good !C or void !C
1N--,3D,5+!C; 0-1!D. 4!H+4!S
1N--3D--,3H,4+!H
1N--3D--3H--,3N,Signoff
1N--3D--3H--,3S,4!S
1N--3D--3H--3S--,3N,ASK distrib
1N--3D--3H--3S--3N--,4C,4-3-0-6
1N--3D--3H--3S--3N--,4D,Good hand; Slam invite
1N--3D--3H--,4C,4!H; Good !C
1N--3D--3H--,4D,4!H; Good hand
1N--3D--3H--,4H,Signoff
1N--3D--3H--,4N,4!H; RKCB 14/03 in !H
1N--3D--,3N,Signoff
1N--3D--,3S,4+!S
1N--3D--3S--,3N,Signoff
1N--3D--3S--,4C,4!S; Good !C
1N--3D--3S--,4D,4!S; Good hand
1N--3D--3S--,4H,CUE; !S agreed
1N--3D--3S--,4N,4!S; RKCB 14/03 in !S
1N--3D--3S--,4S,Signoff
1N--3D--,4C,No 4card MAJOR
1N--3D--4C--,4D,Good !C or void !C
1N--3D--,4D,4+!C
1N--3D--,5C,4+!C; Signoff
1N--,3H,Minors: 5-4; 0-1!H
1N--3H--,3N,Signoff
1N--3H--,3S,ASK distrib
1N--3H--3S--,3N,6-5 or better
1N--3H--3S--,4C,3-1-4-5
1N--3H--3S--,4D,3-1-5-4
1N--3H--3S--,4H,3-0-5-5
1N--3H--,4C,Slam try in !C
1N--3H--,4D,Slam try in !D
1N--3H--,4H,MAXIMUM
1N--3H--,4S,Signoff if 3!S
1N--3H--,5C,Signoff
1N--3H--,5D,Signoff
1N--,3N,Signoff
1N--,3S,Minors: 5-4; 0-1!S
1N--3S--,3N,Signoff
1N--3S--,4C,Slam try in !C
1N--3S--,4D,Slam try in !D
1N--3S--,4H,Signoff if 3!H
1N--3S--,5C,Signoff
1N--3S--,5D,Signoff
1N--,4C,Gerber
1N--,4D,Trans -> !H
1N--,4H,Trans -> !S
1N--,4N,Slam invite
1N--,--,To play
,2D,6-11HcP; a 6card MAJOR
2DDb,2H,Pass/correct
2DDb,2N,ASK strength incl. fit
2DDb2N--,3C,MAXIMUM; bad suit
2DDb2N--,3D,Good suit
2DDb2N--,3H,6!H; weak
2DDb2N--,3N,Solid MAJOR
2DDb2N--,3S,6!S; weak
2DDb,2S,ASK short; No fit needed
2DDb2S--,2N,No short or short other MAJOR
2DDb2S--2N--,3C,ASK MAJOR
2DDb2S--2N--3C--,3D,6!H; No short
2DDb2S--2N--3C--,3H,6!H; 0-1!S
2DDb2S--2N--3C--,3N,6!S; 0-1!H
2DDb2S--2N--3C--,3S,6!S; No short
2DDb2S--,3C,6!S; 0-1!C
2DDb2S--,3D,6!H; 0-1!D
2DDb2S--,3H,6!H; 0-1!C
2DDb2S--,3S,6!S; 0-1!D
2DDb,3D,Invite + fit
2DDb,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
2DDb,4C,Give a trans
2DDb4C--,4D,Trans -> !H
2DDb4C--,4H,Trans -> !S
2DDb,4D,Bid your suit
2DDb4D--,4H,6!H; Signoff
2DDb4D--,4S,6!S; Signoff
2D--,2H,Pass/correct
2D--,2N,ASK strength incl. fit
2D--2N--,3C,MAXIMUM; bad suit
2D--2N--,3D,Good suit
2D--2N--,3H,6!H; weak
2D--2N--,3N,Solid MAJOR
2D--2N--,3S,6!S; weak
2D--,2S,ASK short; No fit needed
2D--2S--,2N,No short or short other MAJOR
2D--2S--2N--,3C,ASK MAJOR
2D--2S--2N--3C--,3D,6!H; No short
2D--2S--2N--3C--,3H,6!H; 0-1!S
2D--2S--2N--3C--,3N,6!S; 0-1!H
2D--2S--2N--3C--,3S,6!S; No short
2D--2S--,3C,6!S; 0-1!C
2D--2S--,3D,6!H; 0-1!D
2D--2S--,3H,6!H; 0-1!C
2D--2S--,3S,6!S; 0-1!D
2D--,3D,Invite + fit
2D--,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
2D--,4C,Give a trans
2D--4C--,4D,Trans -> !H
2D--4C--,4H,Trans -> !S
2D--,4D,Bid your suit
2D--4D--,4H,6!H; Signoff
2D--4D--,4S,6!S; Signoff
2D--Db,2H,Pass/correct
2D--Db,2N,ASK strength incl. fit
2D--Db2N--,3C,MAXIMUM; bad suit
2D--Db2N--,3D,Good suit
2D--Db2N--,3H,6!H; weak
2D--Db2N--,3N,Solid MAJOR
2D--Db2N--,3S,6!S; weak
2D--Db,2S,ASK short; No fit needed
2D--Db2S--,2N,No short or short other MAJOR
2D--Db2S--2N--,3C,ASK MAJOR
2D--Db2S--2N--3C--,3D,6!H; No short
2D--Db2S--2N--3C--,3H,6!H; 0-1!S
2D--Db2S--2N--3C--,3N,6!S; 0-1!H
2D--Db2S--2N--3C--,3S,6!S; No short
2D--Db2S--,3C,6!S; 0-1!C
2D--Db2S--,3D,6!H; 0-1!D
2D--Db2S--,3H,6!H; 0-1!C
2D--Db2S--,3S,6!S; 0-1!D
2D--Db,3D,Invite + fit
2D--Db,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
2D--Db,4C,Give a trans
2D--Db4C--,4D,Trans -> !H
2D--Db4C--,4H,Trans -> !S
2D--Db,4D,Bid your suit
2D--Db4D--,4H,6!H; Signoff
2D--Db4D--,4S,6!S; Signoff
2D----,2H,Pass/correct
2D----,2N,ASK strength incl. fit
2D----2N--,3C,MAXIMUM; bad suit
2D----2N--,3D,Good suit
2D----2N--,3H,6!H; weak
2D----2N--,3N,Solid MAJOR
2D----2N--,3S,6!S; weak
2D----,2S,ASK short; No fit needed
2D----2S--,2N,No short or short other MAJOR
2D----2S--2N--,3C,ASK MAJOR
2D----2S--2N--3C--,3D,6!H; No short
2D----2S--2N--3C--,3H,6!H; 0-1!S
2D----2S--2N--3C--,3N,6!S; 0-1!H
2D----2S--2N--3C--,3S,6!S; No short
2D----2S--,3C,6!S; 0-1!C
2D----2S--,3D,6!H; 0-1!D
2D----2S--,3H,6!H; 0-1!C
2D----2S--,3S,6!S; 0-1!D
2D----,3D,Invite + fit
2D----,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
2D----,4C,Give a trans
2D----4C--,4D,Trans -> !H
2D----4C--,4H,Trans -> !S
2D----,4D,Bid your suit
2D----4D--,4H,6!H; Signoff
2D----4D--,4S,6!S; Signoff
,2H,6-11HcP; 5!H + a suit
2HDb,2N,ASK minor
2HDb,2S,Pass/correct
2HDb,3C,Pass/correct
2HDb,3D,Pass/correct
2HDb,3H,Preempt
2HDb,4H,Signoff
2HDb,--,To play
2HDb,Rd,To play
2H--,2N,ASK minor
2H--,2S,Pass/correct
2H--,3C,Pass/correct
2H--,3D,Pass/correct
2H--,3H,Preempt
2H--,4H,Signoff
2H--,--,To play
,2N,6-11HcP; 5!C + 5!D
2NDb,3C,3+!C
2NDb,3D,3+!D
2NDb,3H,ASK distrib
